seed,V,fell,n_trials,wall_s,coupling_gain,w_swing,w_stance,F_FAST,STOP_GAIN,hip_amp,knee_amp,b
3,0.961934889773119,False,100,1974.6,7.8456,25.0,22.2141,36.6236,0.4723,0.1,0.5,0.1
1,0.9595658513597902,False,100,2305.0,4.0764,16.5934,23.7243,53.0885,0.5,0.1,0.5,10.0
7,0.9444078752200279,False,100,2353.7,4.0,25.0,22.7065,36.0192,0.1405,0.1,0.5,0.1
8,0.9481993856153849,False,100,2413.5,4.0,25.0,25.0,45.3118,0.2003,0.1,0.5881,10.0
0,0.9495292505836853,False,100,2431.1,7.4516,10.8746,24.026,57.0832,0.5,0.1,0.5923,10.0
9,0.9690120997745083,False,100,2478.7,4.0,14.1768,25.0,60.0,0.5,0.1,0.5485,10.0
6,0.9563769657760839,False,100,2508.6,4.6477,11.8308,25.0,40.2808,0.3704,0.1,0.5,10.0
2,0.9596260378350359,False,100,2536.1,5.4489,25.0,25.0,33.8411,0.5,0.1,0.5,0.1
4,0.9633871665480912,False,100,2711.0,7.9012,10.0,25.0,60.0,0.4082,0.1222,0.5,10.0
5,0.97461732113102,False,100,2880.9,7.2553,10.4258,25.0,60.0,0.5,0.1189,0.5,10.0
10,0.9580443824072793,False,100,1912.4,12.0,25.0,24.3862,60.0,0.5,0.1,0.5,0.1
14,0.9605612561067141,False,100,2095.4,12.0,23.0611,25.0,42.7811,0.5,0.1,0.5,10.0
11,0.9454261566768222,False,100,2539.4,9.4524,10.0,25.0,60.0,0.5,0.1,0.5,10.0
13,0.9524247103657195,False,100,2430.7,12.0,22.3381,23.0243,60.0,0.5,0.1,0.5,0.1
12,0.9656122410288848,False,100,2605.5,4.0,16.9006,25.0,60.0,0.5,0.1,0.5,10.0
17,0.9733497477965428,False,100,2428.7,9.3567,10.0,23.7197,50.7873,0.5,0.1,0.5,2.5203
16,0.9643555007088117,False,100,2503.4,4.0,12.2508,23.3745,60.0,0.4651,0.1065,0.5,2.8781
18,0.9582148330201553,False,100,2350.3,4.0,20.0959,25.0,43.8535,0.5,0.1,0.5,3.9953
19,0.9658718535777266,False,100,2262.9,8.5004,10.0,24.7491,60.0,0.432,0.1,0.5,10.0
15,0.9632129899182815,False,100,2672.9,10.6346,13.9231,25.0,60.0,0.5,0.1,0.5,6.6224
20,0.9742862046702458,False,100,2397.2,4.0,10.0,22.6452,60.0,0.5,0.1043,0.5,2.9237
22,0.9567237609187648,False,100,2250.0,4.0,25.0,25.0,25.0,0.5,0.1,0.5,10.0
26,0.9616720337885796,False,100,2256.1,5.4821,12.5425,23.6589,34.0472,0.4181,0.1148,0.5,8.4051
23,0.9409981253085965,False,100,2545.3,8.3849,20.0148,24.6975,27.1632,0.5,0.1132,0.5322,8.0137
27,0.9579618692905525,False,100,2424.7,5.6817,11.029,24.0162,27.9889,0.3596,0.1,0.5,5.4351
21,0.966113942857694,False,100,2971.9,4.0,15.2046,25.0,60.0,0.5,0.1144,0.5,7.7024
24,0.9442170917704643,False,100,2589.8,6.4902,12.6012,25.0,60.0,0.0949,0.1012,0.5692,5.2709
25,0.9576937801265898,False,100,2640.3,4.0,25.0,23.8716,25.0,0.2047,0.1,0.5,6.8042
29,0.9627570494399714,False,100,3138.4,12.0,10.0,24.819,60.0,0.5,0.1171,0.5,10.0
28,0.9652060221537341,False,100,3249.2,6.9369,25.0,25.0,25.0,0.5,0.1108,0.5,5.5518
30,0.954850589801107,False,100,3207.3,12.0,19.2488,24.4792,51.6261,0.5,0.1218,0.5,6.9554
31,0.9697336845067123,False,100,3050.0,6.9132,17.9302,25.0,25.0,0.4726,0.1,0.5,10.0
32,0.9595767365126755,False,100,2967.4,7.6129,21.4662,25.0,40.095,0.5,0.1,0.5,0.1
36,0.9653155048918468,False,100,2691.7,6.9691,12.4174,25.0,36.408,0.5,0.1,0.5,3.7321
34,0.951449807914429,False,100,3034.9,10.8884,21.6538,25.0,60.0,0.5,0.1,0.5,1.7933
33,0.9691684986225465,False,100,3156.0,5.8892,12.7695,25.0,29.2791,0.5,0.1064,0.5,7.2347
35,0.9634142398719411,False,100,3293.8,4.0,17.1659,25.0,60.0,0.5,0.1222,0.5,9.7789
37,0.9581894875537752,False,100,3435.0,12.0,25.0,25.0,30.1356,0.5,0.1319,0.5159,0.1
38,0.9564522753063147,False,100,3061.6,12.0,10.0,25.0,60.0,0.5,0.1546,0.5,4.9515
39,0.9520321814040734,False,100,3151.1,7.2743,25.0,20.6228,60.0,0.5,0.1308,0.5,0.1
40,0.9639061130731699,False,100,3183.7,4.0,20.3536,25.0,50.3355,0.5,0.1,0.5,6.411
41,0.9512716656785679,False,100,2807.2,4.0,23.6528,25.0,37.7283,0.5,0.1,0.5189,0.1
42,0.9671670007055365,False,100,2741.8,4.6054,13.3185,25.0,38.2989,0.3173,0.1,0.5,3.7149
43,0.9545866420386642,False,100,2919.7,12.0,21.1907,25.0,49.5209,0.5,0.1149,0.5,0.1
45,0.9514723026939236,False,100,2786.3,9.2517,22.0367,25.0,60.0,0.5,0.153,0.5,0.1
46,0.9628814829855072,False,100,2628.4,8.2775,10.5614,25.0,44.4553,0.5,0.1,0.5772,10.0
44,0.9581277998923226,False,100,3029.1,4.0,25.0,25.0,25.0,0.5,0.1162,0.5,3.678
47,0.9435830505242017,False,100,2518.6,7.0964,25.0,25.0,39.8407,0.4052,0.1,0.5263,10.0
48,0.950808135952803,False,100,2277.4,4.0,25.0,25.0,53.3196,0.2269,0.1,0.5,10.0
49,0.9511698266825355,False,100,2183.8,10.0985,22.8276,25.0,45.0336,0.4952,0.122,0.5,0.1
